ID,First Name,Last Name,Email,Birth Date
1,JOHN,DOE,john.doe@example.com,1990-01-15 00:00:00.0
2,JANE,SMITH,jane.smith@example.com,1985-07-22 00:00:00.0
3,ALICE,JOHNSON,alice.j@example.com,2000-03-30 00:00:00.0
4,JOHN,NJOROGE,johnnjoroge@gmail.com,1992-01-15 00:00:00.0
5,JANE,KITUI,jane.smith@gmail.com,1987-07-22 00:00:00.0
6,ALICE,MOKEIRA,alicemokeira@gmail.com,2010-03-30 00:00:00.0
7,JOHN,BROWN,johnbrown@gmail.com,1999-12-15 00:00:00.0
8,JANET,KERUBO,janetkeruo21@gmail.com,1985-10-22 00:00:00.0
9,ALICE,MUTUA,alicemutua@gmail.com,2004-05-30 00:00:00.0
10,JOHN,OTIENO,johnnotieno21@gmail.com,1983-01-15 00:00:00.0
11,JULIET,BARASA,jullybarasa@gmail.com,1989-07-22 00:00:00.0
12,FAITH,MOCHAMA,faithmochama45@gmail.com,2011-03-30 00:00:00.0
13,ANGELA,BARAKA,barakangie@gmail.com,1986-12-15 00:00:00.0
14,EUGENE,MACHOKA,eugenemachoka@gmail.com,1980-10-22 00:00:00.0
15,ANNETTE,MORAA,annettemoraa@gmail.com,2014-05-30 00:00:00.0
